id,Bundle id,Book name,Book id,is Premium,Bundle Name
1,19,Decatur HI-Way Airfield,844710162-2,FALSE,ariddles24
2,8,Hasvik Airport,438226157-0,FALSE,ngilderoyy
3,18,Hammerfest Airport,406808092-5,TRUE,kbrandi0
4,13,Xewkija Heliport,248344238-2,TRUE,bgariff3
5,1,Amderma Airport,043778955-1,TRUE,ramorta
6,18,Virginia Tech Montgomery Executive Airport,743918925-6,TRUE,kbrandi0
7,5,Badu Island Airport,996338447-1,TRUE,lironl
8,16,Zhukovsky International Airport,637484593-5,TRUE,cmeir1
9,19,Rajahmundry Airport,534527516-5,TRUE,ariddles24
10,13,Billy Bishop Toronto City Centre Airport,842753290-3,FALSE,bgariff3
11,3,Agartala Airport,022883907-6,FALSE,msuthren6
12,1,Yeniseysk Airport,984080306-9,TRUE,ramorta
13,18,Columbus Lowndes County Airport,311838226-0,FALSE,kbrandi0
14,11,Pattaya Airpark,334687370-6,FALSE,smccooked
15,13,Ie Jima Airport,151388832-3,FALSE,bgariff3
16,13,Aitape Airport,973060427-4,TRUE,bgariff3
17,20,Talkeetna Airport,774742502-3,FALSE,rvickerstaffb
18,11,Quetzalcóatl International Airport,396780716-9,FALSE,smccooked
19,18,Ağrı Airport,072782946-7,FALSE,kbrandi0
20,4,Mörön Airport,808662698-9,FALSE,jtonner2
21,5,Kebar Airport,644152828-2,TRUE,lironl
22,13,Mifflin County Airport,905975648-7,FALSE,bgariff3
23,20,Diomício Freitas Airport,827294785-4,TRUE,rvickerstaffb
24,1,Samana El Portillo Airport,609631262-4,FALSE,ramorta
25,16,Enid Woodring Regional Airport,274702723-6,FALSE,cmeir1
26,9,Daugavpils Intrenational Airport,899505253-8,TRUE,mgregoraceo
27,5,Cuito Cuanavale Airport,126028796-3,FALSE,lironl
28,5,José Celestino Mutis Airport,915805724-2,FALSE,lironl
29,20,El Charco Airport,036016872-8,FALSE,rvickerstaffb
30,17,Lavan Island Airport,626006405-5,FALSE,iiskow14
31,8,Rockhampton Downs Airport,566160533-1,TRUE,ngilderoyy
32,6,San Blas Airport,175124681-7,FALSE,rblint5
33,15,Tefé Airport,789001380-9,FALSE,hflasby1v
34,11,Voinjama Airport,234743077-7,FALSE,smccooked
35,20,Wapenamanda Airport,367492136-7,TRUE,rvickerstaffb
36,20,Raiatea Airport,887705000-4,FALSE,rvickerstaffb
37,9,Lungi International Airport,714887223-5,TRUE,mgregoraceo
38,6,Hughes Airport,017765209-8,TRUE,rblint5
39,15,Dandugama Seaplane Base,631188088-1,TRUE,hflasby1v
40,8,Vilyuisk Airport,704028064-7,FALSE,ngilderoyy
41,18,Tambillos Airport,433390902-3,TRUE,kbrandi0
42,5,Labo Airport,257558695-X,TRUE,lironl
43,17,Namrole Airport,534942042-9,TRUE,iiskow14
44,14,Assiut International Airport,813869898-5,TRUE,itubridy17
45,7,Charata Airport,555521285-2,TRUE,jfreebornn
46,12,Estevan Airport,437492380-2,FALSE,gmacgaughy4
47,19,Mweka Airport,487013574-4,TRUE,ariddles24
48,8,Urzhar Airport,550549326-2,TRUE,ngilderoyy
49,10,Casco Cove Coast Guard Station,566426736-4,TRUE,sbalaisotf
50,1,Aasiaat Airport,440251718-4,TRUE,ramorta
51,5,Çiğli Airport,229370355-X,FALSE,lironl
52,18,Salt Cay Airport,351140735-4,TRUE,kbrandi0
53,17,Mc Allen Miller International Airport,717789822-0,FALSE,iiskow14
54,2,Shahid Ashrafi Esfahani Airport,696819528-3,FALSE,aezzellt
55,8,Alberto Alcolumbre Airport,636132226-2,FALSE,ngilderoyy
56,18,Istanbul Airport,828379747-6,FALSE,kbrandi0
57,10,São Sepé Airport,253675680-7,FALSE,sbalaisotf
